trade_number,direction,entry_dt,entry_price,entry_qty,exit_dt,exit_price,exit_qty,gross_pnl,commission,slippage,net_pnl,return_pct,exit_reason,entry_signal,duration_bars
1,LONG,2026-04-15,1052.65,97.4296299405291,2026-08-24,2374.0,97.4296299405291,128738.6415219181,323.7370220126344,0.0,128414.90449990547,1.2552605329406732,BACKTEST_END_LIQUIDATION,BuySignal,
2,LONG,2025-05-30,935.55,110.74653587515789,2025-08-29,842.4,110.74653587515789,-10316.039816770955,180.17699428921838,0.0,-10496.216811060172,-0.09956709956709953,atr_trail,BuySignal,
3,LONG,2025-03-20,872.1,120.49683616177278,2025-04-09,751.05,120.49683616177278,-14586.142017382603,177.54976939818434,0.0,-14763.691786780786,-0.13880288957688347,atr_trail,BuySignal,
4,LONG,2024-07-09,643.55,162.23945247884967,2024-10-07,686.45,162.23945247884967,6960.072511342666,199.1607721591684,0.0,6760.911739183498,0.06666148706394237,atr_trail,BuySignal,
5,LONG,2023-11-09,479.8,215.4226799231825,2024-02-21,529.45,215.4226799231825,10695.73605818602,201.75790197880764,0.0,10493.978156207211,0.10348061692371835,atr_trail,BuySignal,
6,LONG,2023-07-10,307.5,325.16192911537894,2023-10-23,411.9,325.16192911537894,33946.905399645555,221.81915800628315,0.0,33725.08624163927,0.3395121951219511,atr_trail,BuySignal,
7,LONG,2022-09-05,254.1,394.8889746983488,2022-10-12,245.6,394.8889746983488,-3356.556284935965,183.3963937781357,0.0,-3539.9526787141003,-0.03345139708776068,atr_trail,BuySignal,
8,LONG,2022-04-06,199.0,510.5241902369366,2022-05-10,174.8,510.5241902369366,-12354.68540373386,175.5684592657628,0.0,-12530.253862999622,-0.12160804020100502,atr_trail,BuySignal,
9,LONG,2022-01-17,195.15,527.3202262028243,2022-01-24,170.6,527.3202262028243,-12945.711553279343,176.5713100284459,0.0,-13122.28286330779,-0.12580066615424035,atr_trail,BuySignal,
10,LONG,2021-04-01,147.3,703.3273885019057,2021-07-07,137.7,703.3273885019057,-6751.942929618311,183.87889887737015,0.0,-6935.82182849568,-0.06517311608961318,atr_trail,BuySignal,
11,LONG,2020-01-09,160.7,634.8528816391877,2020-02-28,185.9,634.8528816391877,15998.29261730754,205.63014817469053,0.0,15792.662469132849,0.15681393901680152,atr_trail,BuySignal,
12,LONG,2018-01-12,170.5,602.1964256255574,2018-01-31,159.95,602.1964256255574,-6353.1722903496375,183.15260705123018,0.0,-6536.3248974008675,-0.06187683284457479,atr_trail,BuySignal,
13,LONG,2017-10-27,146.45,705.3327112077757,2017-11-14,137.9,705.3327112077757,-6030.59468082647,184.2551913857849,0.0,-6214.849872212255,-0.058381700238989254,atr_trail,BuySignal,
14,LONG,2017-08-30,138.5,753.4848348723878,2017-09-25,124.65,753.4848348723878,-10435.764962982566,180.97577148683104,0.0,-10616.740734469398,-0.09999999999999998,atr_trail,BuySignal,
15,LONG,2017-06-12,99.85,1032.5255973722487,2017-08-10,112.25,1032.5255973722487,12803.31740741589,203.63008534922048,0.0,12599.687322066671,0.12418627941912885,atr_trail,BuySignal,
16,LONG,2015-06-26,105.2,965.5255751559148,2015-08-13,121.2,965.5255751559148,15448.409202494637,204.50529032673734,0.0,15243.9039121679,0.15209125475285168,atr_trail,BuySignal,
17,LONG,2014-03-11,71.85,1391.7884481558804,2014-06-20,83.3,1391.7884481558804,15935.977731384834,203.07266736256088,0.0,15732.905064022272,0.15935977731384843,atr_trail,BuySignal,
