trade_number,direction,entry_dt,entry_price,entry_qty,exit_dt,exit_price,exit_qty,gross_pnl,commission,slippage,net_pnl,return_pct,exit_reason,entry_signal,duration_bars
1,LONG,2002-08-22,16.3,1.0,2002-09-03,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
2,LONG,2002-09-04,16.3,1.0,2002-09-05,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
3,LONG,2002-09-06,16.3,1.0,2002-09-09,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
4,LONG,2002-09-11,16.3,1.0,2002-09-12,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
5,LONG,2002-09-13,16.3,1.0,2002-09-16,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
6,LONG,2002-09-17,16.3,1.0,2002-09-18,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
7,LONG,2002-09-19,16.3,1.0,2002-09-20,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
8,LONG,2002-09-23,16.3,1.0,2002-09-24,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
9,LONG,2002-09-25,16.3,1.0,2002-09-26,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
10,LONG,2002-09-27,14.3,1.0,2002-09-30,14.3,1.0,0.0,0.0,0.014285710000001117,0.0,0.0,Close entry(s) order TEST,BuySignal,
11,LONG,2002-10-01,14.3,1.0,2002-10-03,16.3,1.0,2.0,0.0,0.014285710000001117,2.0,0.1398601398601398,Close entry(s) order TEST,BuySignal,
12,LONG,2002-10-04,16.3,1.0,2002-10-07,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
13,LONG,2002-10-08,16.3,1.0,2002-10-09,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
14,LONG,2002-10-10,16.3,1.0,2002-10-11,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
15,LONG,2002-10-14,16.3,1.0,2002-10-16,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
16,LONG,2002-10-17,16.3,1.0,2002-10-18,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
17,LONG,2002-10-21,16.3,1.0,2002-10-22,16.3,1.0,0.0,0.0,0.026530000000001053,0.0,0.0,Close entry(s) order TEST,BuySignal,
18,LONG,2002-10-23,14.3,1.0,2002-10-24,16.3,1.0,2.0,0.0,0.014285710000001117,2.0,0.1398601398601398,Close entry(s) order TEST,BuySignal,
19,LONG,2002-10-25,14.3,1.0,2002-10-28,14.3,1.0,0.0,0.0,0.014285710000001117,0.0,0.0,Close entry(s) order TEST,BuySignal,
20,LONG,2002-10-29,14.3,1.0,2002-10-30,14.3,1.0,0.0,0.0,0.014285710000001117,0.0,0.0,Close entry(s) order TEST,BuySignal,
21,LONG,2002-10-31,14.3,1.0,2002-11-01,14.3,1.0,0.0,0.0,0.014285710000001117,0.0,0.0,Close entry(s) order TEST,BuySignal,
22,LONG,2002-11-04,16.3,1.0,2002-11-05,14.3,1.0,-2.0,0.0,0.026530000000001053,-2.0,-0.12269938650306744,Close entry(s) order TEST,BuySignal,
23,LONG,2002-11-07,18.4,1.0,2002-11-08,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
24,LONG,2002-11-11,22.4,1.0,2002-11-12,18.4,1.0,-4.0,0.0,0.04897857000000272,-4.0,-0.1785714285714286,Close entry(s) order TEST,BuySignal,
25,LONG,2002-11-13,18.4,1.0,2002-11-14,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
26,LONG,2002-11-15,18.4,1.0,2002-11-18,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
27,LONG,2002-11-20,18.4,1.0,2002-11-21,20.4,1.0,2.0,0.0,0.032654289999999975,2.0,0.10869565217391308,Close entry(s) order TEST,BuySignal,
28,LONG,2002-11-22,20.4,1.0,2002-11-25,18.4,1.0,-2.0,0.0,0.008162860000002325,-2.0,-0.0980392156862745,Close entry(s) order TEST,BuySignal,
29,LONG,2002-11-26,18.4,1.0,2002-11-27,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
30,LONG,2002-11-28,18.4,1.0,2002-11-29,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
31,LONG,2002-12-02,18.4,1.0,2002-12-03,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
32,LONG,2002-12-04,18.4,1.0,2002-12-05,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
33,LONG,2002-12-06,18.4,1.0,2002-12-09,20.4,1.0,2.0,0.0,0.032654289999999975,2.0,0.10869565217391308,Close entry(s) order TEST,BuySignal,
34,LONG,2002-12-10,20.4,1.0,2002-12-11,18.4,1.0,-2.0,0.0,0.008162860000002325,-2.0,-0.0980392156862745,Close entry(s) order TEST,BuySignal,
35,LONG,2002-12-12,18.4,1.0,2002-12-13,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
36,LONG,2002-12-16,18.4,1.0,2002-12-17,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
37,LONG,2002-12-18,18.4,1.0,2002-12-19,20.4,1.0,2.0,0.0,0.032654289999999975,2.0,0.10869565217391308,Close entry(s) order TEST,BuySignal,
38,LONG,2002-12-20,20.4,1.0,2002-12-23,20.4,1.0,0.0,0.0,0.008162860000002325,0.0,0.0,Close entry(s) order TEST,BuySignal,
39,LONG,2002-12-24,20.4,1.0,2002-12-26,20.4,1.0,0.0,0.0,0.008162860000002325,0.0,0.0,Close entry(s) order TEST,BuySignal,
40,LONG,2002-12-27,20.4,1.0,2002-12-30,18.4,1.0,-2.0,0.0,0.008162860000002325,-2.0,-0.0980392156862745,Close entry(s) order TEST,BuySignal,
41,LONG,2002-12-31,18.4,1.0,2003-01-01,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
42,LONG,2003-01-02,18.4,1.0,2003-01-03,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
43,LONG,2003-01-06,18.4,1.0,2003-01-07,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
44,LONG,2003-01-08,18.4,1.0,2003-01-09,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
45,LONG,2003-01-10,18.4,1.0,2003-01-13,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
46,LONG,2003-01-14,18.4,1.0,2003-01-15,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
47,LONG,2003-01-16,18.4,1.0,2003-01-17,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
48,LONG,2003-01-20,18.4,1.0,2003-01-21,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
49,LONG,2003-01-22,18.4,1.0,2003-01-23,18.4,1.0,0.0,0.0,0.032654289999999975,0.0,0.0,Close entry(s) order TEST,BuySignal,
