Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Commission INR,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2002-09-03,Close entry(s) order TEST,16.3,1,16.3,0,0.00,0,2.1,12.88,0,0.00,0,0.00,8
1,Entry long,2002-08-22,TEST,16.3,1,16.3,0,0.00,0,2.1,12.88,0,0.00,0,0.00,8
2,Exit long,2002-09-05,Close entry(s) order TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
2,Entry long,2002-09-04,TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
3,Exit long,2002-09-09,Close entry(s) order TEST,16.3,1,16.3,0,0.00,0,2.1,12.88,0,0.00,0,0.00,1
3,Entry long,2002-09-06,TEST,16.3,1,16.3,0,0.00,0,2.1,12.88,0,0.00,0,0.00,1
4,Exit long,2002-09-12,Close entry(s) order TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
4,Entry long,2002-09-11,TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
5,Exit long,2002-09-16,Close entry(s) order TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
5,Entry long,2002-09-13,TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
6,Exit long,2002-09-18,Close entry(s) order TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
6,Entry long,2002-09-17,TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
7,Exit long,2002-09-20,Close entry(s) order TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
7,Entry long,2002-09-19,TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
8,Exit long,2002-09-24,Close entry(s) order TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
8,Entry long,2002-09-23,TEST,16.3,1,16.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
9,Exit long,2002-09-26,Close entry(s) order TEST,16.3,1,16.3,0,0.00,0,0,0.00,-2,-12.27,0,0.00,1
9,Entry long,2002-09-25,TEST,16.3,1,16.3,0,0.00,0,0,0.00,-2,-12.27,0,0.00,1
10,Exit long,2002-09-30,Close entry(s) order TEST,14.3,1,14.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
10,Entry long,2002-09-27,TEST,14.3,1,14.3,0,0.00,0,0,0.00,0,0.00,0,0.00,1
11,Exit long,2002-10-03,Close entry(s) order TEST,16.3,1,14.3,2,13.99,0,2,13.99,0,0.00,2,0.00,1
